              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	       6.006500	       0.283502	       5.728289	       0.981336	      -0.981336	      -0.048568	       0.049492	       1.048568	       0.049492
              2	                       K+	       0.794900	       0.049605	       0.835020	      -0.808796	       0.808796	       0.048047	       0.059406	       0.951953	       0.059406
              3	                      K0S	       0.780500	       0.039832	       0.816365	      -0.900401	       0.900401	       0.043932	       0.048792	       0.956068	       0.048792
              4	                phi(1020)	       0.101396	       0.010516	       0.091518	       0.939317	      -0.939317	      -0.107933	       0.114906	       1.107933	       0.114906
              5	                        p	       0.335250	       0.022803	       0.381958	      -2.048374	       2.048374	       0.122287	       0.059699	       0.877713	       0.059699
              6	                   Lambda	       0.226050	       0.015260	       0.176643	       3.237686	      -3.237686	      -0.279698	       0.086388	       1.279698	       0.086388
              7	                     Ksi-	       0.026910	       0.001863	       0.022928	       2.137870	      -2.137870	      -0.173686	       0.081243	       1.173686	       0.081243
              8	                    Omega	       0.002541	       0.000280	       0.003169	      -2.245293	       2.245293	       0.198188	       0.088268	       0.801812	       0.088268
