              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	       1.599350	       0.094500	       1.589136	       0.108082	      -0.108082	      -0.006427	       0.059466	       1.006427	       0.059466
              2	                       K+	       0.191550	       0.013851	       0.199909	      -0.603511	       0.603511	       0.041815	       0.069286	       0.958185	       0.069286
              3	                      K0S	       0.192650	       0.009658	       0.195861	      -0.332423	       0.332423	       0.016392	       0.049312	       0.983608	       0.049312
              4	                phi(1020)	       0.023170	       0.002669	       0.017763	       2.026167	      -2.026167	      -0.304416	       0.150242	       1.304416	       0.150242
              5	                        p	       0.082780	       0.006660	       0.092037	      -1.389922	       1.389922	       0.100584	       0.072366	       0.899416	       0.072366
              6	                   Lambda	       0.047660	       0.003652	       0.035839	       3.236523	      -3.236523	      -0.329851	       0.101915	       1.329851	       0.101915
              7	                     Ksi-	       0.004311	       0.000510	       0.003946	       0.714760	      -0.714760	      -0.092432	       0.129319	       1.092432	       0.129319
              8	                    Omega	       0.000288	       0.000061	       0.000438	      -2.476404	       2.476404	       0.342027	       0.138114	       0.657973	       0.138114
