              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	       8.956500	       0.448023	       8.540697	       0.928085	      -0.928085	      -0.048685	       0.052457	       1.048685	       0.052457
              2	                       K+	       1.218000	       0.080025	       1.270379	      -0.654537	       0.654537	       0.041231	       0.062993	       0.958769	       0.062993
              3	                      K0S	       1.188500	       0.061074	       1.241482	      -0.867511	       0.867511	       0.042677	       0.049194	       0.957323	       0.049194
              4	                phi(1020)	       0.150400	       0.015572	       0.142248	       0.523487	      -0.523487	      -0.057306	       0.109469	       1.057306	       0.109469
              5	                        p	       0.492850	       0.034710	       0.567755	      -2.158008	       2.158008	       0.131932	       0.061136	       0.868068	       0.061136
              6	                   Lambda	       0.345250	       0.023274	       0.268612	       3.292921	      -3.292921	      -0.285313	       0.086644	       1.285313	       0.086644
              7	                     Ksi-	       0.041960	       0.002738	       0.035662	       2.300119	      -2.300119	      -0.176610	       0.076783	       1.176610	       0.076783
              8	                    Omega	       0.004137	       0.000411	       0.005043	      -2.205752	       2.205752	       0.179670	       0.081455	       0.820330	       0.081455
