              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	       4.515000	       0.210002	       4.446367	       0.326822	      -0.326822	      -0.015436	       0.047230	       1.015436	       0.047230
              2	                       K+	       0.586250	       0.036053	       0.611017	      -0.686939	       0.686939	       0.040533	       0.059006	       0.959467	       0.059006
              3	                      K0S	       0.579800	       0.029427	       0.597983	      -0.617900	       0.617900	       0.030407	       0.049210	       0.969593	       0.049210
              4	                phi(1020)	       0.072996	       0.007494	       0.061893	       1.481465	      -1.481465	      -0.179384	       0.121085	       1.179384	       0.121085
              5	                        p	       0.252850	       0.017052	       0.285184	      -1.896202	       1.896202	       0.113379	       0.059792	       0.886621	       0.059792
              6	                   Lambda	       0.165850	       0.011209	       0.123065	       3.817005	      -3.817005	      -0.347661	       0.091082	       1.347661	       0.091082
              7	                     Ksi-	       0.018500	       0.001411	       0.014941	       2.521487	      -2.521487	      -0.238204	       0.094470	       1.238204	       0.094470
              8	                    Omega	       0.001488	       0.000157	       0.001899	      -2.626226	       2.626226	       0.216476	       0.082428	       0.783524	       0.082428
