              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	       3.012500	       0.139004	       2.928464	       0.604559	      -0.604559	      -0.028696	       0.047466	       1.028696	       0.047466
              2	                       K+	       0.380700	       0.023252	       0.399933	      -0.827144	       0.827144	       0.048090	       0.058140	       0.951910	       0.058140
              3	                      K0S	       0.381500	       0.019269	       0.391447	      -0.516226	       0.516226	       0.025411	       0.049224	       0.974589	       0.049224
              4	                phi(1020)	       0.045830	       0.004794	       0.040251	       1.163726	      -1.163726	      -0.138615	       0.119113	       1.138615	       0.119113
              5	                        p	       0.167550	       0.011302	       0.188060	      -1.814725	       1.814725	       0.109059	       0.060097	       0.890941	       0.060097
              6	                   Lambda	       0.106455	       0.007236	       0.080593	       3.574222	      -3.574222	      -0.320903	       0.089783	       1.320903	       0.089783
              7	                     Ksi-	       0.010937	       0.000946	       0.009717	       1.289481	      -1.289481	      -0.125518	       0.097340	       1.125518	       0.097340
              8	                    Omega	       0.000931	       0.000132	       0.001227	      -2.230295	       2.230295	       0.240769	       0.107954	       0.759231	       0.107954
