              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	     668.750000	      47.500000	     571.394400	       2.049592	      -2.049592	      -0.170382	       0.083130	       1.170382	       0.083130
              2	                       K+	      99.750000	       8.250000	     105.600335	      -0.709131	       0.709131	       0.055401	       0.078125	       0.944599	       0.078125
              3	                      K0S	     100.000000	       8.000000	     102.951842	      -0.368980	       0.368980	       0.028672	       0.077706	       0.971328	       0.077706
              4	                phi(1020)	      12.750000	       1.590000	      13.536596	      -0.494714	       0.494714	       0.058109	       0.117459	       0.941891	       0.117459
              5	                        p	      30.750000	       2.500000	      36.986580	      -2.494632	       2.494632	       0.168617	       0.067592	       0.831383	       0.067592
              6	                   Lambda	      24.000000	       2.500000	      20.422980	       1.430808	      -1.430808	      -0.175147	       0.122411	       1.175147	       0.122411
              7	                     Ksi-	       3.335000	       0.238000	       3.078790	       1.076511	      -1.076511	      -0.083218	       0.077303	       1.083218	       0.077303
              8	                    Omega	       0.595000	       0.100000	       0.501762	       0.932380	      -0.932380	      -0.185821	       0.199298	       1.185821	       0.199298
