              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	      97.250000	       6.250000	      84.328504	       2.067439	      -2.067439	      -0.153228	       0.074115	       1.153228	       0.074115
              2	                       K+	      14.200000	       1.100000	      15.330902	      -1.028093	       1.028093	       0.073766	       0.071751	       0.926234	       0.071751
              3	                      K0S	      14.000000	       1.000000	      14.913014	      -0.913014	       0.913014	       0.061223	       0.067056	       0.938777	       0.067056
              4	                phi(1020)	       2.080000	       0.240000	       2.106948	      -0.112283	       0.112283	       0.012790	       0.113909	       0.987210	       0.113909
              5	                        p	       4.900000	       0.400000	       5.304585	      -1.011462	       1.011462	       0.076271	       0.075406	       0.923729	       0.075406
              6	                   Lambda	       3.800000	       0.400000	       3.144454	       1.638866	      -1.638866	      -0.208477	       0.127208	       1.208477	       0.127208
              7	                     Ksi-	       0.535000	       0.040000	       0.521641	       0.333980	      -0.333980	      -0.025610	       0.076681	       1.025610	       0.076681
              8	                    Omega	       0.085000	       0.015000	       0.091822	      -0.454772	       0.454772	       0.074292	       0.163360	       0.925708	       0.163360
