              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	      97.250000	       6.250000	      82.342369	       2.385221	      -2.385221	      -0.181044	       0.075903	       1.181044	       0.075903
              2	                       K+	      14.200000	       1.100000	      15.283838	      -0.985307	       0.985307	       0.070914	       0.071971	       0.929086	       0.071971
              3	                      K0S	      14.000000	       1.000000	      14.900892	      -0.900892	       0.900892	       0.060459	       0.067110	       0.939541	       0.067110
              4	                phi(1020)	       2.080000	       0.240000	       2.033587	       0.193387	      -0.193387	      -0.022823	       0.118018	       1.022823	       0.118018
              5	                        p	       4.900000	       0.400000	       5.770359	      -2.175899	       2.175899	       0.150833	       0.069320	       0.849167	       0.069320
              6	                   Lambda	       3.800000	       0.400000	       3.228397	       1.429008	      -1.429008	      -0.177055	       0.123901	       1.177055	       0.123901
              7	                     Ksi-	       0.535000	       0.040000	       0.491811	       1.079728	      -1.079728	      -0.087817	       0.081332	       1.087817	       0.081332
              8	                    Omega	       0.085000	       0.015000	       0.083288	       0.114139	      -0.114139	      -0.020556	       0.180098	       1.020556	       0.180098
