              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	     454.000000	      31.000000	     397.235050	       1.831127	      -1.831127	      -0.142900	       0.078039	       1.142900	       0.078039
              2	                       K+	      68.000000	       5.500000	      72.032864	      -0.733248	       0.733248	       0.055986	       0.076354	       0.944014	       0.076354
              3	                      K0S	      68.000000	       5.000000	      70.075811	      -0.415162	       0.415162	       0.029622	       0.071351	       0.970378	       0.071351
              4	                phi(1020)	       9.000000	       1.000000	       9.755754	      -0.755754	       0.755754	       0.077467	       0.102504	       0.922533	       0.102504
              5	                        p	      21.050000	       1.750000	      24.198764	      -1.799294	       1.799294	       0.130121	       0.072318	       0.869879	       0.072318
              6	                   Lambda	      17.000000	       2.000000	      14.258661	       1.370670	      -1.370670	      -0.192258	       0.140266	       1.192258	       0.140266
              7	                     Ksi-	       2.570000	       0.180000	       2.355224	       1.193201	      -1.193201	      -0.091191	       0.076426	       1.091191	       0.076426
              8	                    Omega	       0.390000	       0.080000	       0.408061	      -0.225757	       0.225757	       0.044259	       0.196049	       0.955741	       0.196049
