              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	     454.000000	      31.000000	     402.025688	       1.676591	      -1.676591	      -0.129281	       0.077110	       1.129281	       0.077110
              2	                       K+	      68.000000	       5.500000	      70.857545	      -0.519554	       0.519554	       0.040328	       0.077621	       0.959672	       0.077621
              3	                      K0S	      68.000000	       5.000000	      69.138602	      -0.227720	       0.227720	       0.016468	       0.072318	       0.983532	       0.072318
              4	                phi(1020)	       9.000000	       1.000000	       8.997640	       0.002360	      -0.002360	      -0.000262	       0.111140	       1.000262	       0.111140
              5	                        p	      21.050000	       1.750000	      27.181265	      -3.503580	       3.503580	       0.225570	       0.064383	       0.774430	       0.064383
              6	                   Lambda	      17.000000	       2.000000	      14.176612	       1.411694	      -1.411694	      -0.199158	       0.141077	       1.199158	       0.141077
              7	                     Ksi-	       2.570000	       0.180000	       2.105717	       2.579352	      -2.579352	      -0.220487	       0.085482	       1.220487	       0.085482
              8	                    Omega	       0.390000	       0.080000	       0.347396	       0.532546	      -0.532546	      -0.122637	       0.230285	       1.122637	       0.230285
