              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	      27.025000	       1.550000	      22.818931	       2.713593	      -2.713593	      -0.184324	       0.067926	       1.184324	       0.067926
              2	                       K+	       3.700000	       0.300000	       4.211345	      -1.704482	       1.704482	       0.121421	       0.071236	       0.878579	       0.071236
              3	                      K0S	       3.900000	       0.200000	       4.105696	      -1.028481	       1.028481	       0.050100	       0.048713	       0.949900	       0.048713
              4	                phi(1020)	       0.510000	       0.070000	       0.534912	      -0.355884	       0.355884	       0.046572	       0.130863	       0.953428	       0.130863
              5	                        p	       1.432500	       0.142500	       1.449085	      -0.116385	       0.116385	       0.011445	       0.098338	       0.988555	       0.098338
              6	                   Lambda	       1.000000	       0.100000	       0.797540	       2.024599	      -2.024599	      -0.253855	       0.125386	       1.253855	       0.125386
              7	                     Ksi-	       0.120000	       0.010000	       0.119918	       0.008161	      -0.008161	      -0.000681	       0.083390	       1.000681	       0.083390
              8	                    Omega	       0.016000	       0.003000	       0.019367	      -1.122224	       1.122224	       0.173838	       0.154905	       0.826162	       0.154905
