              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	     253.500000	      16.500000	     225.897323	       1.672890	      -1.672890	      -0.122191	       0.073042	       1.122191	       0.073042
              2	                       K+	      38.000000	       3.000000	      41.066375	      -1.022125	       1.022125	       0.074669	       0.073052	       0.925331	       0.073052
              3	                      K0S	      39.000000	       3.000000	      39.947056	      -0.315685	       0.315685	       0.023708	       0.075099	       0.976292	       0.075099
              4	                phi(1020)	       5.640000	       0.650000	       5.642392	      -0.003680	       0.003680	       0.000424	       0.115199	       0.999576	       0.115199
              5	                        p	      12.050000	       1.000000	      14.201902	      -2.151902	       2.151902	       0.151522	       0.070413	       0.848478	       0.070413
              6	                   Lambda	      10.000000	       1.000000	       8.417739	       1.582261	      -1.582261	      -0.187967	       0.118797	       1.187967	       0.118797
              7	                     Ksi-	       1.515000	       0.111000	       1.396335	       1.069050	      -1.069050	      -0.084983	       0.079494	       1.084983	       0.079494
              8	                    Omega	       0.240000	       0.040000	       0.245721	      -0.143037	       0.143037	       0.023284	       0.162786	       0.976716	       0.162786
