              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	     253.500000	      16.500000	     220.824372	       1.980341	      -1.980341	      -0.147971	       0.074720	       1.147971	       0.074720
              2	                       K+	      38.000000	       3.000000	      40.968198	      -0.989399	       0.989399	       0.072451	       0.073228	       0.927549	       0.073228
              3	                      K0S	      39.000000	       3.000000	      39.941569	      -0.313856	       0.313856	       0.023574	       0.075110	       0.976426	       0.075110
              4	                phi(1020)	       5.640000	       0.650000	       5.421933	       0.335488	      -0.335488	      -0.040219	       0.119883	       1.040219	       0.119883
              5	                        p	      12.050000	       1.000000	      15.296848	      -3.246848	       3.246848	       0.212256	       0.065373	       0.787744	       0.065373
              6	                   Lambda	      10.000000	       1.000000	       8.542234	       1.457766	      -1.457766	      -0.170654	       0.117065	       1.170654	       0.117065
              7	                     Ksi-	       1.515000	       0.111000	       1.299371	       1.942604	      -1.942604	      -0.165949	       0.085426	       1.165949	       0.085426
              8	                    Omega	       0.240000	       0.040000	       0.218805	       0.529871	      -0.529871	      -0.096866	       0.182811	       1.096866	       0.182811
