              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	      97.250000	       6.250000	      85.189969	       1.929605	      -1.929605	      -0.141566	       0.073365	       1.141566	       0.073365
              2	                       K+	      14.200000	       1.100000	      15.050592	      -0.773266	       0.773266	       0.056516	       0.073087	       0.943484	       0.073087
              3	                      K0S	      14.000000	       1.000000	      14.685891	      -0.685891	       0.685891	       0.046704	       0.068093	       0.953296	       0.068093
              4	                phi(1020)	       2.080000	       0.240000	       1.951269	       0.536381	      -0.536381	      -0.065973	       0.122997	       1.065973	       0.122997
              5	                        p	       4.900000	       0.400000	       6.029267	      -2.823167	       2.823167	       0.187298	       0.066343	       0.812702	       0.066343
              6	                   Lambda	       3.800000	       0.400000	       3.168324	       1.579190	      -1.579190	      -0.199372	       0.126250	       1.199372	       0.126250
              7	                     Ksi-	       0.535000	       0.040000	       0.473448	       1.538804	      -1.538804	      -0.130008	       0.084487	       1.130008	       0.084487
              8	                    Omega	       0.085000	       0.015000	       0.079863	       0.342464	      -0.342464	      -0.064322	       0.187822	       1.064322	       0.187822
