              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	     253.500000	      16.500000	     227.926095	       1.549934	      -1.549934	      -0.112203	       0.072392	       1.112203	       0.072392
              2	                       K+	      38.000000	       3.000000	      40.241000	      -0.747000	       0.747000	       0.055689	       0.074551	       0.944311	       0.074551
              3	                      K0S	      39.000000	       3.000000	      39.265546	      -0.088515	       0.088515	       0.006763	       0.076403	       0.993237	       0.076403
              4	                phi(1020)	       5.640000	       0.650000	       5.183487	       0.702328	      -0.702328	      -0.088071	       0.125398	       1.088071	       0.125398
              5	                        p	      12.050000	       1.000000	      15.901284	      -3.851284	       3.851284	       0.242200	       0.062888	       0.757800	       0.062888
              6	                   Lambda	      10.000000	       1.000000	       8.336440	       1.663560	      -1.663560	      -0.199553	       0.119955	       1.199553	       0.119955
              7	                     Ksi-	       1.515000	       0.111000	       1.243395	       2.446888	      -2.446888	      -0.218438	       0.089272	       1.218438	       0.089272
              8	                    Omega	       0.240000	       0.040000	       0.208274	       0.793144	      -0.793144	      -0.152327	       0.192054	       1.152327	       0.192054
