              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	     668.750000	      47.500000	     590.239915	       1.652844	      -1.652844	      -0.133014	       0.080476	       1.133014	       0.080476
              2	                       K+	      99.750000	       8.250000	     103.809881	      -0.492107	       0.492107	       0.039109	       0.079472	       0.960891	       0.079472
              3	                      K0S	     100.000000	       8.000000	     101.289513	      -0.161189	       0.161189	       0.012731	       0.078982	       0.987269	       0.078982
              4	                phi(1020)	      12.750000	       1.590000	      12.985043	      -0.147826	       0.147826	       0.018101	       0.122449	       0.981899	       0.122449
              5	                        p	      30.750000	       2.500000	      38.629963	      -3.151985	       3.151985	       0.203986	       0.064717	       0.796014	       0.064717
              6	                   Lambda	      24.000000	       2.500000	      20.038454	       1.584618	      -1.584618	      -0.197697	       0.124760	       1.197697	       0.124760
              7	                     Ksi-	       3.335000	       0.238000	       2.963413	       1.561292	      -1.561292	      -0.125392	       0.080313	       1.125392	       0.080313
              8	                    Omega	       0.595000	       0.100000	       0.481338	       1.136622	      -1.136622	      -0.236138	       0.207754	       1.236138	       0.207754
