              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	     454.000000	      31.000000	     388.456100	       2.114319	      -2.114319	      -0.168729	       0.079803	       1.168729	       0.079803
              2	                       K+	      68.000000	       5.500000	      71.959483	      -0.719906	       0.719906	       0.055024	       0.076432	       0.944976	       0.076432
              3	                      K0S	      68.000000	       5.000000	      70.155568	      -0.431114	       0.431114	       0.030726	       0.071270	       0.969274	       0.071270
              4	                phi(1020)	       9.000000	       1.000000	       9.389747	      -0.389747	       0.389747	       0.041508	       0.106499	       0.958492	       0.106499
              5	                        p	      21.050000	       1.750000	      26.106243	      -2.889282	       2.889282	       0.193679	       0.067034	       0.806321	       0.067034
              6	                   Lambda	      17.000000	       2.000000	      14.506163	       1.246919	      -1.246919	      -0.171916	       0.137872	       1.171916	       0.137872
              7	                     Ksi-	       2.570000	       0.180000	       2.197815	       2.067693	      -2.067693	      -0.169343	       0.081900	       1.169343	       0.081900
              8	                    Omega	       0.390000	       0.080000	       0.364693	       0.316337	      -0.316337	      -0.069393	       0.219363	       1.069393	       0.219363
