              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	      27.025000	       1.550000	      23.649187	       2.177944	      -2.177944	      -0.142745	       0.065541	       1.142745	       0.065541
              2	                       K+	       3.700000	       0.300000	       4.157262	      -1.524207	       1.524207	       0.109991	       0.072163	       0.890009	       0.072163
              3	                      K0S	       3.900000	       0.200000	       4.056311	      -0.781557	       0.781557	       0.038535	       0.049306	       0.961465	       0.049306
              4	                phi(1020)	       0.510000	       0.070000	       0.518308	      -0.118693	       0.118693	       0.016030	       0.135055	       0.983970	       0.135055
              5	                        p	       1.432500	       0.142500	       1.536966	      -0.733092	       0.733092	       0.067969	       0.092715	       0.932031	       0.092715
              6	                   Lambda	       1.000000	       0.100000	       0.796324	       2.036765	      -2.036765	      -0.255771	       0.125577	       1.255771	       0.125577
              7	                     Ksi-	       0.120000	       0.010000	       0.117653	       0.234691	      -0.234691	      -0.019948	       0.084996	       1.019948	       0.084996
              8	                    Omega	       0.016000	       0.003000	       0.019046	      -1.015425	       1.015425	       0.159941	       0.157511	       0.840059	       0.157511
