              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	      27.025000	       1.550000	      23.430663	       2.318927	      -2.318927	      -0.153403	       0.066153	       1.153403	       0.066153
              2	                       K+	       3.700000	       0.300000	       4.210903	      -1.703011	       1.703011	       0.121329	       0.071244	       0.878671	       0.071244
              3	                      K0S	       3.900000	       0.200000	       4.097408	      -0.987040	       0.987040	       0.048179	       0.048811	       0.951821	       0.048811
              4	                phi(1020)	       0.510000	       0.070000	       0.546366	      -0.519517	       0.519517	       0.066560	       0.128119	       0.933440	       0.128119
              5	                        p	       1.432500	       0.142500	       1.303243	       0.907065	      -0.907065	      -0.099181	       0.109343	       1.099181	       0.109343
              6	                   Lambda	       1.000000	       0.100000	       0.754543	       2.454568	      -2.454568	      -0.325305	       0.132531	       1.325305	       0.132531
              7	                     Ksi-	       0.120000	       0.010000	       0.123053	      -0.305283	       0.305283	       0.024809	       0.081266	       0.975191	       0.081266
              8	                    Omega	       0.016000	       0.003000	       0.020400	      -1.466527	       1.466527	       0.215670	       0.147062	       0.784330	       0.147062
