              N	                     Name	           Data	          Error	            Fit	      Deviation	     Deviation2	       Residual	  ResidualError	     Data/Model	Data/ModelError
              1	                      pi+	     668.750000	      47.500000	     586.130177	       1.739365	      -1.739365	      -0.140958	       0.081040	       1.140958	       0.081040
              2	                       K+	      99.750000	       8.250000	     105.852761	      -0.739729	       0.739729	       0.057653	       0.077938	       0.942347	       0.077938
              3	                      K0S	     100.000000	       8.000000	     102.988760	      -0.373595	       0.373595	       0.029020	       0.077678	       0.970980	       0.077678
              4	                phi(1020)	      12.750000	       1.590000	      14.041135	      -0.812035	       0.812035	       0.091954	       0.113239	       0.908046	       0.113239
              5	                        p	      30.750000	       2.500000	      34.147710	      -1.359084	       1.359084	       0.099500	       0.073211	       0.900500	       0.073211
              6	                   Lambda	      24.000000	       2.500000	      19.950172	       1.619931	      -1.619931	      -0.202997	       0.125312	       1.202997	       0.125312
              7	                     Ksi-	       3.335000	       0.238000	       3.275072	       0.251797	      -0.251797	      -0.018298	       0.072670	       1.018298	       0.072670
              8	                    Omega	       0.595000	       0.100000	       0.555203	       0.397974	      -0.397974	      -0.071681	       0.180114	       1.071681	       0.180114
